sampleid	origin	Site	Condition	Temperature_C	Time_days	Time_months	Stage	Generation
1545s1-t7C	1545B-1H2	1545	CO2	20	211	7	Microcosm	0
1545s1-t7D	1545B-1H2	1545	ACETATE	20	211	7	Microcosm	0
1545s1-t7E	1545B-1H2	1545	METHYL	20	211	7	Microcosm	0
1545s1-t7F	1545B-1H2	1545	METHOXY	20	211	7	Microcosm	0
1545s1-t7G	1545B-1H2	1545	ALKANES	20	211	7	Microcosm	0
1545s1-t7H	1545B-1H2	1545	LIGNIN	20	211	7	Microcosm	0
1545s8-t7A	1545B-8H2	1545	CONTROL	20	205	7	Microcosm	0
1545s8-t7B	1545B-8H2	1545	CH4	20	205	7	Microcosm	0
1545s8-t7C	1545B-8H2	1545	CO2	20	205	7	Microcosm	0
1545s8-t7D	1545B-8H2	1545	ACETATE	20	205	7	Microcosm	0
1545s8-t7E	1545B-8H2	1545	METHYL	20	205	7	Microcosm	0
1545s8-t7F	1545B-8H2	1545	METHOXY	20	205	7	Microcosm	0
1545s8-t7G	1545B-8H2	1545	ALKANES	20	205	7	Microcosm	0
1545s8-t7H	1545B-8H2	1545	LIGNIN	20	205	7	Microcosm	0
1547s1-t7A	1547B-1H2	1547	CONTROL	20	205	7	Microcosm	0
1547s1-t7B	1547B-1H2	1547	CH4	20	205	7	Microcosm	0
1547s1-t7C	1547B-1H2	1547	CO2	20	205	7	Microcosm	0
1547s1-t7D	1547B-1H2	1547	ACETATE	20	205	7	Microcosm	0
1547s1-t7E	1547B-1H2	1547	METHYL	20	205	7	Microcosm	0
1547s1-t7F	1547B-1H2	1547	METHOXY	20	205	7	Microcosm	0
1547s1-t7G	1547B-1H2	1547	ALKANES	20	205	7	Microcosm	0
1547s1-t7H	1547B-1H2	1547	LIGNIN	20	205	7	Microcosm	0
1549s1-t7A	1549B-1H2	1549	CONTROL	20	205	7	Microcosm	0
1549s1-t7B	1549B-1H2	1549	CH4	20	205	7	Microcosm	0
1549s1-t7C	1549B-1H2	1549	CO2	20	205	7	Microcosm	0
1549s1-t7D	1549B-1H2	1549	ACETATE	20	205	7	Microcosm	0
1549s1-t7E	1549B-1H2	1549	METHYL	20	205	7	Microcosm	0
1549s1-t7F	1549B-1H2	1549	METHOXY	20	205	7	Microcosm	0
1549s1-t7G	1549B-1H2	1549	ALKANES	20	205	7	Microcosm	0
1549s1-t7H	1549B-1H2	1549	LIGNIN	20	205	7	Microcosm	0
1549s6-t7A	1549B-6H2	1549	CONTROL	20	205	7	Microcosm	0
1549s6-t7B	1549B-6H2	1549	CH4	20	205	7	Microcosm	0
1549s6-t7C	1549B-6H2	1549	CO2	20	205	7	Microcosm	0
1549s6-t7D	1549B-6H2	1549	ACETATE	20	205	7	Microcosm	0
1549s6-t7E	1549B-6H2	1549	METHYL	20	205	7	Microcosm	0
1549s6-t7F	1549B-6H2	1549	METHOXY	20	205	7	Microcosm	0
1549s6-t7G	1549B-6H2	1549	ALKANES	20	205	7	Microcosm	0
1549s6-t7H	1549B-6H2	1549	LIGNIN	20	205	7	Microcosm	0
1549s12-t7A	1549B-12H2	1549	CONTROL	20	205	7	Microcosm	0
1549s12-t7B	1549B-12H2	1549	CH4	20	205	7	Microcosm	0
1549s12-t7C	1549B-12H2	1549	CO2	20	205	7	Microcosm	0
1549s12-t7D	1549B-12H2	1549	ACETATE	20	205	7	Microcosm	0
1549s12-t7E	1549B-12H2	1549	METHYL	20	205	7	Microcosm	0
1549s12-t7F	1549B-12H2	1549	METHOXY	20	205	7	Microcosm	0
1549s12-t7G	1549B-12H2	1549	ALKANES	20	205	7	Microcosm	0
1549s12-t7H	1549B-12H2	1549	LIGNIN	20	205	7	Microcosm	0
1545s19-t7A	1545B-19F3	1545	CONTROL	37	205	7	Microcosm	0
